,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,NK,Neutrophils
s_segment_4_535,0,0.0304,0.0086,0.5423,0.0001,0.0001,0.2958,0.1188,0.0035,0.0003,0.0001
s_segment_4_55,0,0.003,0.0025,0.6648,0.0016,0,0.2979,0.001,0.0001,0.029,0.0001
s_segment_4_570,0.0049,0.0071,0.0625,0.6812,0.0404,0.0407,0.0029,0.0006,0.1535,0.0013,0.0049
s_segment_4_581,0.0023,0.0024,0.0011,0.0728,0.0302,0.3364,0.0011,0.4579,0.0935,0.0009,0.0014
s_segment_4_666,0,0.0004,0,0.451,0.0001,0,0.3714,0.0275,0.1496,0,0
s_segment_4_683,0.0264,0.0002,0.255,0.6069,0.0002,0.0401,0.0543,0.0123,0.0001,0.0044,0.0001
s_segment_4_715,0.0006,0.0115,0,0.5407,0.0006,0.0954,0.324,0.0107,0.0017,0.0148,0
s_segment_4_741,0.0033,0.1233,0.0002,0.828,0.0005,0.0028,0.01,0.0005,0.0001,0.0005,0.0308
s_segment_4_840,0.0695,0.0202,0.011,0.3309,0.2012,0.1922,0.0908,0.0714,0.0011,0.0002,0.0115
s_segment_4_852,0.0046,0.0124,0.0364,0.5771,0.0005,0.0011,0.3521,0.0025,0.0044,0.0076,0.0013
s_segment_4_925,0.0001,0.0815,0.0026,0.4171,0.0002,0.1268,0.0004,0.0918,0.0993,0.1331,0.0471
s_segment_4_929,0.0087,0.0001,0,0.8583,0.0002,0.0001,0.0612,0.0333,0.0255,0.0005,0.0121
s_segment_4_956,0.1186,0.0045,0.0544,0.2483,0.0017,0,0.2572,0.2901,0.0008,0.0242,0.0002
s_segment_4_975,0.1036,0.0009,0.0009,0.2403,0.0002,0.0076,0.3932,0.0086,0.0146,0.2236,0.0065
s_segment_4_978,0.007,0.0007,0.0001,0.7401,0,0.0025,0.0001,0.2466,0,0.0028,0.0001
s_segment_5_1078,0.0001,0.0004,0.0004,0.0003,0.0005,0.0118,0.3947,0.2576,0.1009,0.2328,0.0005
s_segment_5_1114,0.0001,0.0003,0.0001,0.5496,0.0001,0.0012,0.4103,0.0066,0.0309,0,0.0008
s_segment_5_1117,0,0.0009,0.0003,0,0.0003,0.4121,0.1332,0.398,0.0001,0.0505,0.0046
s_segment_5_1163,0.0009,0.0141,0.0208,0.5779,0.02,0.0004,0.0083,0.2275,0.0675,0.0619,0.0007
s_segment_5_118,0.0009,0.0007,0.0047,0.4128,0.112,0.0072,0,0.4494,0.0004,0.0118,0.0001
s_segment_5_1229,0.0004,0,0.0333,0.6055,0.0359,0.0002,0.0514,0.155,0.0303,0,0.088
s_segment_5_1271,0.007,0.0018,0.0099,0.686,0.0003,0.2165,0.011,0.0225,0.0185,0.0004,0.0261
s_segment_5_1280,0.0124,0.0039,0.0034,0.8839,0.07,0.0046,0.0043,0.0064,0.0006,0.0044,0.0061
s_segment_5_1338,0,0.0001,0.0002,0.5668,0.0001,0.0105,0.399,0,0,0.0002,0.0231
s_segment_5_1343,0.0158,0.0029,0,0.9763,0.0001,0,0,0.0002,0.0046,0.0001,0
s_segment_5_1373,0.0002,0.0112,0.0002,0.2234,0.0364,0.6228,0.0155,0.0891,0.0011,0,0.0001
s_segment_5_139,0.0006,0.0018,0.0055,0.2229,0.1473,0.0002,0.4986,0.0721,0.001,0.0021,0.0479
s_segment_5_1427,0,0.0001,0,0.831,0,0.121,0,0,0.0465,0.0014,0
s_segment_5_1450,0.0011,0,0.0001,0.618,0.0017,0,0.3611,0.0173,0,0.0001,0.0006
s_segment_5_1542,0.0997,0.0026,0.0029,0.3965,0.0007,0.0738,0.1552,0.0988,0.014,0.0451,0.1107
s_segment_5_1575,0.0021,0.0002,0.0008,0.4977,0.0011,0.3239,0.1231,0.0039,0.0017,0.0004,0.0451
s_segment_5_1586,0.0042,0.0001,0.0019,0.3546,0.0162,0.0053,0.5353,0.046,0.0007,0.0322,0.0035
s_segment_5_1595,0.0109,0,0,0.3366,0.0001,0.0008,0.3992,0.1707,0.0162,0.0651,0.0004
s_segment_5_1648,0.1572,0.0001,0.0054,0.6122,0.0001,0.0783,0.0968,0.0004,0.0212,0.0033,0.025
s_segment_5_1706,0,0.1458,0.0005,0.6711,0.0586,0.02,0.0316,0.0195,0.0267,0.003,0.0232
s_segment_5_1750,0.0001,0.0132,0.0064,0.3183,0.0198,0.0007,0.0003,0.4733,0.0003,0.1675,0.0001
s_segment_5_1756,0.0002,0.0141,0.0013,0.6186,0.065,0.2957,0.0006,0,0.0002,0.0043,0
s_segment_5_1760,0.0002,0.3072,0.0056,0.4072,0.001,0.0073,0.0011,0.2637,0.0001,0.0016,0.005
s_segment_5_1768,0.0002,0.0034,0.0136,0.7934,0.0322,0.148,0.0021,0.0054,0.0006,0.0002,0.0009
s_segment_5_1801,0.0075,0.0135,0.0175,0.8252,0.0033,0.0031,0.0133,0.088,0.0113,0.0147,0.0026
s_segment_5_1824,0.2052,0,0,0.7762,0.0001,0.0149,0,0,0,0,0.0036
s_segment_5_1842,0.0058,0,0,0.5447,0.0625,0.0005,0.3768,0.0001,0.0042,0,0.0054
s_segment_5_1843,0.0001,0.019,0.0001,0.3172,0.0005,0.3155,0.2786,0,0.001,0.0235,0.0445
s_segment_5_1854,0.0743,0.0001,0.024,0.6144,0.0552,0.0136,0.09,0.0002,0.1273,0.0006,0.0003
s_segment_5_1856,0.0016,0.0019,0.0018,0.222,0.0004,0.0135,0.1354,0.5718,0.0022,0.0494,0
s_segment_5_191,0.0014,0.0071,0.035,0.9447,0.0002,0.0056,0.0015,0.0006,0.0037,0.0002,0
s_segment_5_1934,0.0016,0.0001,0.0003,0.5904,0.0285,0,0.0867,0.0021,0.0004,0.2039,0.086
s_segment_5_1943,0.0199,0.0102,0.0001,0.8938,0.0002,0.0256,0.0002,0.0242,0.002,0,0.0238
s_segment_5_1965,0.0135,0.0672,0.0238,0.6474,0.025,0.0691,0.0113,0.0592,0.0113,0.0621,0.0101
s_segment_5_1991,0.0001,0.031,0.0095,0.9497,0.0005,0.0006,0.004,0.0017,0.0019,0,0.001
s_segment_5_2020,0.0002,0,0.0005,0.2333,0.0027,0.1845,0.0121,0.4771,0.0876,0.0002,0.0018
s_segment_5_203,0,0.0123,0.0004,0.621,0.0298,0.0001,0.2729,0.0542,0.0091,0.0002,0
s_segment_5_2035,0,0,0.0056,0.679,0.0562,0.2474,0.0008,0.0109,0.0001,0,0
s_segment_5_207,0,0.0001,0,0.5127,0.0013,0.0003,0.0001,0.2576,0.0289,0.1985,0.0005
s_segment_5_2098,0.0037,0,0.0001,0.8072,0.0009,0.024,0.0056,0.1311,0.023,0.0041,0.0003
s_segment_5_211,0.0022,0,0.0412,0.404,0.0102,0.524,0.0001,0.014,0,0,0.0043
s_segment_5_2121,0.0164,0.005,0.0799,0.3264,0,0,0.0886,0.4818,0.0001,0.0017,0.0001
s_segment_5_2131,0,0,0.0115,0.6363,0.0001,0,0.0302,0.011,0,0.3109,0
s_segment_5_2156,0,0.0321,0.0004,0.2589,0.011,0.4555,0.0051,0.018,0.2089,0.0099,0.0002
s_segment_5_2160,0.0001,0.0912,0.0404,0.1117,0.0006,0.001,0.4034,0.3462,0.0018,0.001,0.0026
s_segment_5_2190,0,0.0001,0,0,0.0003,0,0.2875,0.6946,0.0175,0,0
s_segment_5_2259,0.0053,0.1124,0.0012,0.7749,0.0029,0.0285,0.0688,0.0019,0.0007,0.0013,0.0021
s_segment_5_227,0.0057,0.0002,0.0117,0.5026,0.1751,0.0085,0.2915,0.0024,0.0016,0.0006,0.0001
s_segment_5_2284,0.0206,0.2253,0.0081,0.4603,0.038,0.0768,0.0005,0.153,0.0172,0.0001,0.0001
s_segment_5_2290,0.0002,0.012,0.0051,0.6524,0.001,0.0131,0.1216,0.0568,0.0002,0.1296,0.008
s_segment_5_2306,0,0.0033,0,0.4069,0.0002,0.4546,0.0279,0.0063,0,0.0152,0.0856
s_segment_5_2363,0.0001,0.0004,0.0008,0.413,0.0009,0.5292,0.0104,0.0004,0.0025,0.0398,0.0025
s_segment_5_2364,0,0,0.0185,0.9045,0.0086,0.0266,0.0038,0.0368,0.0001,0.0009,0.0002
s_segment_5_239,0.0058,0.0002,0,0,0.0002,0.0001,0.7057,0.2835,0.0025,0.002,0
s_segment_5_240,0.0004,0.0005,0.0079,0.0228,0.0237,0.2861,0.2168,0.3539,0.0863,0.0015,0.0001
s_segment_5_2409,0.0717,0.0015,0.0001,0.9243,0.0006,0,0,0.0003,0.0013,0.0002,0
s_segment_5_2429,0,0.1212,0.052,0.3201,0.0062,0.3249,0.0078,0.1647,0.0004,0.0024,0.0003
s_segment_5_2452,0.0292,0,0.0011,0.6817,0.0001,0.0118,0.0001,0.0281,0.2365,0.0111,0.0003
s_segment_5_2461,0.0434,0.0002,0.0195,0.2058,0.0003,0.4578,0.0005,0.0852,0.1669,0.0151,0.0053
s_segment_5_2479,0.0079,0.0004,0.0023,0.4991,0,0.1801,0.0118,0.1382,0.0001,0.0039,0.1562
s_segment_5_2495,0.032,0.0002,0.0001,0.4543,0.0004,0.4372,0.0599,0.0011,0.0002,0.0001,0.0145
s_segment_5_2552,0,0.0137,0.0003,0.9275,0.0002,0.0268,0.0001,0.0202,0.0112,0,0
s_segment_5_2571,0.0037,0.0161,0.0001,0.6654,0.0256,0.0155,0.1674,0.1021,0.0036,0,0.0005
s_segment_5_2597,0,0.1958,0,0.6198,0,0,0.1674,0.0001,0,0.0001,0.0168
s_segment_5_2603,0.1301,0.0002,0.0009,0.3723,0.0035,0.0068,0,0.2938,0.0338,0.1578,0.0008
s_segment_5_2613,0,0.0032,0.0126,0.9539,0.0264,0,0,0.0001,0,0.0032,0.0006
s_segment_5_2676,0,0.0017,0.0223,0.2538,0.0002,0.3312,0.2009,0,0.1022,0.0869,0.0008
s_segment_5_2691,0.0105,0.0011,0.0021,0.7462,0.0299,0.0619,0.0078,0.0009,0.0126,0.1266,0.0004
s_segment_5_2697,0,0.2139,0.0034,0.6012,0.0002,0.0041,0.0117,0.1649,0.0003,0.0002,0.0001
s_segment_5_2708,0,0.1651,0.0001,0.6255,0.022,0.0028,0.0008,0.0001,0.008,0.175,0.0006
s_segment_5_2718,0.0159,0.037,0.002,0.3997,0.0046,0.4254,0.0032,0.0014,0.0283,0.0757,0.0068
s_segment_5_2735,0.0697,0.06,0.0696,0.153,0.027,0.3571,0.1651,0.0786,0.0001,0.0024,0.0174
s_segment_5_2737,0.0007,0,0,0.7969,0.0005,0.0001,0.0557,0.1358,0,0,0.0103
s_segment_5_2745,0.0064,0.0205,0.0019,0.5911,0.0456,0.0007,0.1781,0.0216,0.1285,0.0004,0.0052
s_segment_5_2760,0.0004,0.0084,0,0.3064,0.0023,0.4358,0.0558,0.0703,0.0535,0.0616,0.0055
s_segment_5_2795,0.0152,0.0053,0.0013,0.2805,0.0683,0.5465,0.0024,0.0649,0.0069,0.0033,0.0054
s_segment_5_2796,0.0016,0.0001,0.0009,0.5836,0.0003,0.3151,0.013,0,0.0846,0.0007,0.0001
s_segment_5_282,0.004,0.0246,0.0002,0.0004,0.0001,0.0006,0.4465,0.2992,0.0002,0.1813,0.0429
s_segment_5_2827,0.0177,0.0363,0.0004,0.5381,0.0007,0.0246,0.003,0.1984,0.1435,0.0003,0.037
s_segment_5_2828,0.0001,0.0052,0.0002,0.4358,0.01,0.1625,0.001,0.001,0.1138,0.2703,0.0001
s_segment_5_2844,0.0465,0.0531,0.0009,0.7615,0.0066,0.0114,0.029,0.0795,0.0111,0,0.0004
s_segment_5_2966,0.0085,0.0004,0.0001,0.5096,0.0334,0.1843,0.1025,0.0745,0.0237,0.0002,0.0628
s_segment_5_297,0.0002,0,0,0.583,0.0005,0.0002,0.286,0.0558,0.0578,0,0.0165
s_segment_5_2979,0.0027,0.0085,0.0033,0.7144,0.0802,0.0324,0.0688,0.0298,0.0028,0.0552,0.0019
s_segment_5_2993,0.0052,0.0255,0.0334,0.1356,0.1638,0.0112,0.2092,0.3468,0.0549,0.0094,0.005
s_segment_5_2994,0,0.0203,0.0001,0.5689,0.0006,0.3697,0.0359,0.0024,0.0003,0.0015,0.0003
s_segment_5_3025,0.0044,0.0146,0.097,0.3691,0.0234,0.0008,0.3204,0.0152,0.1391,0.0037,0.0123
s_segment_5_3041,0.001,0,0.0072,0.8116,0.0001,0,0.1327,0.0003,0.0449,0.0017,0.0005
s_segment_5_3072,0,0.0002,0.001,0.2957,0.0108,0.0125,0.0259,0.6532,0.0005,0.0001,0.0001
s_segment_5_3110,0,0.0086,0.0002,0.286,0,0.0001,0.3341,0,0.0465,0.3198,0.0047
s_segment_5_3152,0.0001,0.0224,0.0135,0.5171,0.0013,0.0057,0.0016,0.3159,0.0005,0.1211,0.0008
s_segment_5_3168,0.025,0,0.0007,0.6069,0.0001,0.0001,0.0001,0.3362,0,0,0.0309
s_segment_5_3248,0.0001,0.0001,0.2589,0.2992,0.0004,0.0144,0.0034,0.2573,0.1661,0,0.0001
s_segment_5_3269,0,0,0,0.8057,0.0009,0,0,0,0,0.1933,0.0001
s_segment_5_329,0.0012,0.0005,0.0193,0.069,0.0125,0.001,0.1981,0.6799,0.0002,0.0055,0.0128
s_segment_5_3303,0.0511,0.0131,0.0022,0.7226,0.0139,0.079,0.0376,0.0031,0.0005,0.062,0.0149
s_segment_5_3314,0.0001,0.0001,0.0007,0.7504,0.0008,0.0044,0.0341,0.0007,0,0.2021,0.0066
s_segment_5_3325,0.0001,0.0001,0,0.0002,0.0044,0.0173,0.4003,0.53,0,0.0476,0
s_segment_5_3383,0.2431,0.0402,0.0041,0.4489,0.0005,0.0039,0.1453,0.0976,0.0004,0.0052,0.0108
s_segment_5_340,0.0003,0.0004,0.0107,0.4776,0.0091,0.1403,0.0618,0.0005,0.0001,0.1696,0.1296
s_segment_5_3413,0.0023,0.0006,0.0115,0.5666,0,0.0001,0.0463,0.0468,0.0957,0.2299,0.0002
s_segment_5_3423,0.0012,0.0014,0.0199,0.3092,0.0001,0.0003,0.0042,0.6469,0.0041,0.0002,0.0125
s_segment_5_3424,0.0007,0.0045,0.0163,0.652,0.0044,0.0736,0.0014,0.0001,0.0003,0.1508,0.0959
s_segment_5_3441,0.0044,0.0089,0.0638,0.6538,0.0067,0.0004,0.1583,0.0142,0.0317,0.0002,0.0576
s_segment_5_3459,0,0.0134,0.0042,0.2911,0.0001,0.012,0,0.6103,0.0138,0.0548,0.0003
s_segment_5_3511,0.0083,0.0004,0,0.348,0.0001,0.4533,0.002,0.0022,0.1641,0.0216,0
s_segment_5_3566,0.0006,0.0086,0,0.0768,0.0001,0.0712,0.2036,0.3913,0,0.2399,0.0079
s_segment_5_3568,0.0044,0.0028,0.0208,0.8569,0.0001,0,0,0.0002,0.0443,0.0247,0.0458
s_segment_5_3572,0.0001,0.0005,0.0002,0.0001,0.1035,0.2447,0.2632,0.3821,0.0055,0.0001,0
s_segment_5_3589,0.0057,0.0126,0.002,0.7877,0.0038,0.0046,0.1118,0.0137,0.0047,0.0161,0.0373
s_segment_5_3598,0,0.0077,0.0002,0.6699,0.0022,0.0029,0.3165,0.0003,0,0.0001,0.0002
s_segment_5_3605,0.0001,0.0068,0.3093,0.5007,0.0005,0.001,0.0433,0.096,0.0012,0.04,0.0011
s_segment_5_3635,0.0002,0.0254,0.0006,0.2258,0.0555,0.4225,0.2579,0.0066,0.0003,0.0001,0.0051
s_segment_5_3641,0.0011,0.0246,0.0091,0.7298,0.0268,0.0366,0.0211,0.0008,0.0222,0.1047,0.0232
s_segment_5_3713,0.0002,0.0022,0,0.8854,0.0021,0.0037,0.0761,0.0263,0.003,0.0007,0.0003
s_segment_5_3741,0.0025,0.2278,0.0055,0.4782,0.0269,0.0172,0.1163,0.0996,0.0009,0.007,0.0181
s_segment_5_3745,0.0015,0.0004,0,0.949,0.0001,0.0004,0.0278,0,0.0014,0,0.0194
s_segment_5_3754,0.0036,0.0001,0.0238,0.4239,0.0022,0.0005,0.484,0.0113,0.0274,0.0199,0.0033
s_segment_5_381,0.0426,0.0646,0.0013,0.5326,0.0174,0.0001,0.0029,0.3267,0.0005,0.0111,0.0002
s_segment_5_382,0.0001,0,0,0.8621,0.0079,0.0132,0.1081,0.0008,0.0045,0.0028,0.0005
s_segment_5_3828,0.0083,0.0149,0.0028,0.1161,0,0.3056,0,0.487,0.0005,0.0645,0.0003
s_segment_5_3925,0.0183,0.0079,0.0737,0.3061,0.0054,0.5805,0.001,0.0048,0.0003,0.0001,0.0019
s_segment_5_394,0.0015,0.0456,0.0002,0.6646,0.0018,0.0007,0.0016,0.1483,0.0133,0.0754,0.047
s_segment_5_3953,0.0015,0.0173,0.0082,0.3922,0.0111,0.0801,0.2372,0.0011,0.0882,0.1359,0.0272
s_segment_5_3982,0.0014,0.0127,0.0414,0.2236,0.0014,0.0473,0.0328,0.204,0.4289,0.0036,0.0029
s_segment_5_4012,0.0186,0.0247,0.0002,0.7595,0.0002,0.0001,0,0.0942,0.1023,0.0001,0.0001
s_segment_5_4016,0.0002,0.0001,0.0003,0.5108,0.001,0.2908,0.0557,0.0021,0.0156,0.0445,0.0789
s_segment_5_4025,0.001,0.0051,0.0001,0.7147,0.0242,0.0995,0.1357,0.0001,0.0185,0.0008,0.0003
s_segment_5_4032,0.0014,0,0,0.9071,0.0002,0.0001,0.0541,0.0029,0.0181,0.016,0.0001
s_segment_5_4040,0.0042,0.0011,0.0023,0.9252,0.0018,0.0029,0.0009,0,0.0067,0.0537,0.0012
s_segment_5_4055,0.0267,0.0002,0.0327,0.2247,0.0064,0.0015,0.013,0.6588,0.0007,0.0176,0.0177
s_segment_5_4102,0.0006,0.0092,0,0.7563,0.1194,0.0921,0,0.0182,0.0025,0.0008,0.0009
s_segment_5_4106,0.0367,0.0393,0.0006,0.7875,0.0001,0.0275,0.0001,0.107,0.0007,0.0001,0.0004
s_segment_5_4108,0.0006,0.0194,0.0152,0.3897,0.0007,0.5692,0,0.0039,0.0001,0,0.0012
s_segment_5_415,0.0004,0.0293,0.0012,0.6053,0.0038,0.0018,0.037,0.0045,0.2705,0.0064,0.0398
s_segment_5_4233,0.0005,0.0007,0.0008,0.6855,0,0.0081,0.2658,0.0055,0.0297,0.0021,0.0013
s_segment_5_4254,0.1041,0.0001,0.0023,0.5426,0.1609,0.0006,0.036,0.1005,0.0005,0.0173,0.0351
s_segment_5_4270,0.0002,0,0.0001,0.4703,0.0006,0.0043,0.0007,0.5147,0.0022,0.0005,0.0064
s_segment_5_43,0,0.0005,0.0075,0.5204,0.0014,0.0001,0.0005,0.4564,0.0014,0,0.0118
s_segment_5_4318,0,0.0858,0.0002,0.7004,0.0001,0.0001,0.0003,0.2087,0.0001,0.002,0.0023
s_segment_5_4330,0.0012,0.0004,0.0003,0.6075,0.038,0.177,0.1691,0.0052,0.0002,0.0008,0.0003
s_segment_5_4339,0.0399,0.0084,0.0836,0.4086,0.0045,0.3773,0.0126,0.0003,0.0432,0.0001,0.0215
s_segment_5_436,0,0.0051,0.0001,0.9673,0,0,0,0.0009,0.0003,0.0262,0.0001
s_segment_5_4380,0.0369,0.0208,0.0065,0.509,0.0021,0.0009,0.0689,0.0001,0.0275,0.327,0.0003
s_segment_5_4419,0.0001,0,0,0.6324,0,0.0001,0.0014,0.3121,0.0461,0.0077,0.0001
s_segment_5_4511,0.0001,0,0.0836,0.3872,0.0027,0.0258,0.0008,0.4926,0.0071,0,0.0001
s_segment_5_4518,0,0,0,0.6087,0.0001,0.0014,0.001,0.3864,0.0003,0.0001,0.002
s_segment_5_4560,0.0005,0.0007,0.0009,0.5722,0.0001,0.0716,0.1982,0.0027,0.0001,0.1528,0.0002
s_segment_5_4563,0.0049,0.0001,0.0085,0.7163,0.002,0.0071,0.1452,0.0007,0.0012,0.1136,0.0004
s_segment_5_4585,0.0073,0.0018,0.0427,0.0049,0.0576,0.0452,0.3729,0.4207,0.0383,0.0049,0.0037
s_segment_5_4618,0,0.0312,0,0.4607,0,0.0001,0.422,0.0205,0,0.0655,0
s_segment_5_465,0.0003,0.0001,0,0.5403,0.0015,0.4142,0.0356,0.0004,0.0062,0.0014,0
s_segment_5_4694,0,0,0.0003,0.4238,0,0,0.2015,0.3212,0.0002,0.0529,0.0001
s_segment_5_4707,0.0087,0.0003,0.0051,0.3501,0.0022,0.0247,0.0001,0.352,0.2554,0.0008,0.0006
s_segment_5_4761,0.013,0.0049,0.002,0.4538,0.0092,0.0661,0.0761,0.0099,0.0171,0.3289,0.019
s_segment_5_4807,0.0001,0,0.1992,0.2945,0.0004,0.0702,0.3186,0.1168,0.0002,0,0
s_segment_5_4856,0.0001,0.0013,0.0316,0.1868,0.001,0.0002,0.0817,0.69,0,0.0003,0.007
s_segment_5_4887,0,0.1956,0.0002,0.3276,0.0003,0.2876,0.1308,0.0033,0.0153,0.008,0.0313
s_segment_5_4906,0,0.002,0.0031,0.2358,0.0007,0.5091,0.0981,0.0067,0.0315,0.1048,0.0082
s_segment_5_4911,0.0144,0.0019,0.0011,0.5155,0.0002,0.0002,0.0004,0.0295,0.0064,0.4304,0
s_segment_5_4917,0.1724,0.0053,0.0014,0.3321,0,0.0035,0.1104,0.1075,0.052,0.1876,0.0278
s_segment_5_4932,0.0037,0.0003,0.0001,0.5138,0.0199,0.039,0.0413,0.3646,0.0028,0.0075,0.007
s_segment_5_4945,0.028,0.0024,0.0103,0.2238,0.0816,0.0001,0.3549,0.2697,0.0033,0.0008,0.0251
s_segment_5_496,0.0001,0.0439,0.0019,0.7206,0.0286,0.0032,0.196,0.0002,0.0007,0.0032,0.0016
s_segment_5_4979,0.006,0.0003,0.0156,0.9223,0.0005,0.0064,0.0008,0.0432,0.0029,0,0.002
s_segment_5_4991,0.0034,0.0041,0.0193,0.2979,0.0016,0.0162,0.0981,0.4203,0.1053,0.0311,0.0027
s_segment_5_505,0.1021,0.0014,0,0.721,0.0007,0.0001,0.1288,0.0084,0,0.0003,0.0372
s_segment_5_511,0,0,0.0081,0.7116,0.0225,0.0002,0.255,0.0001,0.0001,0.0003,0.0021
s_segment_5_521,0.004,0.0073,0.0146,0.4246,0.0062,0.0002,0.0541,0.1594,0.3206,0.0034,0.0056
s_segment_5_6,0.0347,0,0.0879,0.5232,0.0003,0.0212,0.0481,0.0001,0,0.2797,0.0048
s_segment_5_619,0,0,0.0005,0.9134,0,0.0001,0.0001,0.0851,0.0007,0.0001,0
s_segment_5_663,0.0042,0.0072,0.0002,0.5449,0.0014,0.0014,0.4223,0.0077,0.0006,0.0002,0.0099
s_segment_5_683,0.0006,0.0001,0.0058,0.833,0,0.0233,0.0915,0.0002,0.0006,0.0449,0
s_segment_5_689,0.0003,0,0,0.9996,0,0,0,0,0.0001,0,0
s_segment_5_690,0.0778,0.0004,0.0008,0.5835,0.0017,0.0954,0.0025,0.0002,0.0009,0.2334,0.0034
s_segment_5_694,0.0023,0,0.2978,0.5152,0.0001,0.0591,0.0656,0,0.002,0.0329,0.025
s_segment_5_755,0.0001,0.0761,0.0005,0.8407,0.0001,0,0.0052,0.0751,0.0001,0,0.0021
s_segment_5_756,0.0381,0.0019,0.1512,0.2512,0.0009,0.0035,0.0018,0.4137,0.0821,0.0031,0.0525
s_segment_5_783,0.0132,0.0035,0.0186,0.2954,0.0053,0.0156,0.0145,0.3633,0.0148,0.2539,0.0019
s_segment_5_791,0.0033,0.0001,0,0.5037,0.0008,0.0003,0.0006,0.4153,0.0594,0.0165,0
s_segment_5_804,0.0001,0.0001,0,0.7428,0.0004,0.165,0.0491,0.0001,0.0412,0.0008,0.0004
s_segment_5_819,0.0001,0.0036,0.0134,0.75,0.0001,0.0036,0.1,0.0047,0.1243,0,0.0002
s_segment_5_825,0.0022,0.0234,0.0039,0.3408,0.0211,0.2971,0.0128,0.0179,0.006,0.2737,0.0011
s_segment_5_830,0.0006,0.0006,0.0725,0.4825,0.0001,0.3996,0.0014,0.0373,0.0007,0.0044,0.0003
s_segment_5_854,0.002,0.2433,0.0002,0.3605,0.0446,0.0021,0.0044,0.3231,0.0018,0.0128,0.0052
s_segment_5_887,0.0032,0.0129,0.0424,0.2505,0.0758,0.0139,0.0042,0.3168,0.0916,0.1766,0.0121
s_segment_5_893,0.0323,0.0688,0.0739,0.3052,0.0189,0.2608,0.0515,0.0429,0.0451,0.0844,0.0162
s_segment_5_913,0.1876,0.0056,0.0002,0.1555,0.007,0.0732,0.2798,0.1928,0.0524,0.0069,0.039
s_segment_5_92,0.0042,0.0008,0.0029,0.856,0.0005,0.0013,0.0303,0.0709,0.0005,0.0004,0.0322
s_segment_5_923,0.0001,0.0004,0.0285,0.4553,0.021,0.4396,0.015,0.0013,0.0001,0.0374,0.0013
s_segment_5_935,0.0003,0.0121,0.0001,0.6742,0.0006,0.2697,0.001,0.0242,0.0005,0.0081,0.0092
s_segment_5_944,0.0012,0.0014,0.0531,0.7276,0.0186,0.0005,0.0034,0.1573,0.0216,0.0031,0.0122
s_segment_5_967,0.0012,0.055,0,0.7672,0.0023,0.0015,0.0039,0.0725,0.0143,0.0812,0.0009
s_segment_5_98,0.0393,0.0393,0.0005,0.3937,0.0003,0.0028,0.0802,0.3541,0.0888,0.0006,0.0004
s_segment_5_993,0.0039,0.0084,0.0002,0.6614,0.0016,0.0004,0.0996,0.0069,0.0887,0.0092,0.1197
s_segment_6_1010,0.1055,0.0552,0.0032,0.3573,0.002,0.4505,0.0006,0.0021,0.0169,0.0061,0.0006
s_segment_6_1018,0.0011,0.0727,0.0252,0.2487,0.0631,0.4288,0.0025,0.053,0.086,0.0077,0.0112
s_segment_6_1029,0.0001,0.007,0,0.3622,0.0616,0.4207,0.0012,0.1052,0.0417,0.0003,0
s_segment_6_104,0.0001,0.0024,0.0202,0.1585,0.001,0.0007,0.1846,0.5109,0.0909,0.0306,0.0001
s_segment_6_1090,0.004,0.0822,0.0009,0.0741,0.0024,0.0006,0.5271,0.204,0.0007,0.1034,0.0006
s_segment_6_1095,0.0012,0.0004,0.0015,0.6657,0.0002,0.2383,0.0015,0.0053,0.0025,0.0826,0.0008
s_segment_6_1110,0.0005,0.0065,0.0004,0.8545,0.0072,0.0423,0.0258,0,0.0382,0.0243,0.0003
s_segment_6_1169,0.0002,0.0001,0.0011,0.714,0,0.0561,0.0193,0.0217,0.0304,0.1571,0
s_segment_6_1211,0.0453,0.0002,0.0254,0.6305,0.0198,0.0026,0.0511,0.0002,0.1914,0.0001,0.0334
s_segment_6_1241,0.0013,0.0159,0.0001,0.1196,0,0.1565,0.3192,0.3793,0.008,0.0001,0
s_segment_6_1266,0.0067,0.013,0.0007,0.669,0.072,0.04,0.0074,0.1474,0.025,0.0005,0.0183
s_segment_6_1285,0,0,0,0.4769,0.0001,0.4707,0.0044,0.0026,0,0.0453,0
s_segment_6_1286,0.0001,0.0002,0,0.003,0.0001,0.3433,0.1805,0.4724,0,0.0004,0
s_segment_6_1337,0.0043,0,0.0001,0.8182,0,0,0.0809,0.0763,0.0002,0,0.02
s_segment_6_138,0.0564,0.007,0.0004,0.834,0.0021,0.0015,0.0004,0.0524,0.0019,0.0132,0.0307
s_segment_6_1395,0.0024,0.0002,0.0001,0.249,0,0.5302,0.0011,0.2164,0.0001,0.0001,0.0004
s_segment_6_1406,0.0011,0.0623,0,0.8228,0.0001,0.0002,0.0002,0.0022,0.0007,0,0.1104
s_segment_6_1410,0.0085,0.0002,0.0004,0.3848,0.0033,0.553,0.0077,0.0002,0.0006,0,0.0413
s_segment_6_1432,0.0174,0.0656,0.004,0.1109,0.0117,0.1214,0.4,0.1751,0.0002,0.0937,0
s_segment_6_1452,0.0081,0.0092,0,0.2389,0,0.0011,0.2638,0.3691,0.0001,0.017,0.0927
