,CD4 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean,Unnamed: 0,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,B Cells,CD8 T,Fibroblasts
TCGA-EL-A3D0-01A,1.0,3.945,195.051,18.795,2.842,2.097,7.308,433.224,4673,THCA,D1D2_ref,0.019,0.075,0.087,0.005,0.002,0.079,0.0,0.015,0.218,0.094,0.277,0.058,0.01,0.028,0.024,0.01,0.094,0.007,0.371
TCGA-J8-A4HY-01A,1.893,6.253,206.1,25.443,1.775,8.663,5.478,467.362,4674,THCA,D1D2_ref,0.053,0.013,0.074,0.017,0.006,0.004,0.357,0.036,0.155,0.048,0.109,0.076,0.014,0.026,0.01,0.002,0.066,0.023,0.157
TCGA-L6-A4ET-01A,1.0,10.004,283.437,14.635,1.457,3.648,8.706,717.446,4675,THCA,D1D2_ref,0.052,0.016,0.076,0.023,0.004,0.008,0.321,0.019,0.178,0.054,0.129,0.048,0.01,0.035,0.026,0.002,0.068,0.027,0.183
TCGA-DE-A4MC-01A,16.515,10.452,102.266,22.116,1.793,22.779,10.494,409.369,4676,THCA,D1D2_ref,0.03,0.016,0.135,0.03,0.004,0.003,0.194,0.081,0.159,0.072,0.168,0.019,0.009,0.029,0.039,0.014,0.046,0.034,0.24
TCGA-ET-A25K-01A,1.331,9.226,419.562,19.538,2.299,9.186,7.047,796.139,4677,THCA,D1D2_ref,0.033,0.02,0.105,0.009,0.015,0.003,0.007,0.015,0.308,0.069,0.269,0.032,0.012,0.025,0.062,0.016,0.053000000000000005,0.024,0.338
TCGA-DJ-A3UU-01A,11.415,13.205,135.655,42.152,3.465,27.195,10.853,620.169,4678,THCA,D1D2_ref,0.042,0.029,0.099,0.022,0.017,0.003,0.115,0.039,0.205,0.093,0.198,0.044,0.005,0.018,0.06,0.012,0.07100000000000001,0.039,0.29100000000000004
TCGA-EM-A1YA-01A,1.0,4.0,314.581,16.739,2.424,2.261,2.769,183.942,4679,THCA,D1D2_ref,0.075,0.018,0.081,0.021,0.004,0.003,0.272,0.021,0.215,0.047,0.147,0.025,0.018,0.029,0.019,0.004,0.093,0.025,0.194
TCGA-CE-A483-01A,1.542,5.21,150.126,21.908,1.87,4.945,6.179,525.468,4680,THCA,D1D2_ref,0.046,0.022,0.066,0.018,0.002,0.012,0.353,0.012,0.172,0.059,0.104,0.052,0.012,0.028,0.038,0.003,0.068,0.019999999999999997,0.16299999999999998
TCGA-DJ-A3VD-01A,38.671,40.232,120.035,67.171,5.535,13.737,20.622,734.965,4681,THCA,D1D2_ref,0.045,0.116,0.096,0.042,0.021,0.001,0.006,0.063,0.17,0.134,0.139,0.048,0.009,0.01,0.082,0.019,0.161,0.063,0.273
TCGA-BJ-A28S-01A,1.0,11.709,382.759,33.22,3.676,2.634,4.743,338.261,4682,THCA,D1D2_ref,0.055,0.022,0.058,0.012,0.011,0.005,0.317,0.004,0.225,0.047,0.153,0.031,0.01,0.016,0.029,0.005,0.077,0.023,0.2
TCGA-FY-A3R9-01A,1.0,1.784,170.521,10.416,1.0,1.0,3.938,234.668,4683,THCA,D1D2_ref,0.106,0.009,0.07,0.006,0.007,0.01,0.368,0.022,0.168,0.039,0.092,0.041,0.036,0.012,0.007,0.007,0.11499999999999999,0.013000000000000001,0.131
TCGA-FY-A3R8-01A,6.54,8.307,98.735,32.008,4.982,8.017,11.582,618.065,4684,THCA,D1D2_ref,0.031,0.022,0.088,0.01,0.003,0.006,0.326,0.044,0.145,0.086,0.1,0.052,0.01,0.022,0.045,0.01,0.053,0.013000000000000001,0.186
TCGA-DJ-A3V2-01A,12.062,20.053,222.208,103.242,6.346,42.079,8.491,576.692,4685,THCA,D1D2_ref,0.052,0.029,0.075,0.046,0.019,0.001,0.318,0.032,0.119,0.057,0.085,0.126,0.009,0.02,0.01,0.003,0.081,0.065,0.14200000000000002
TCGA-ET-A25L-01A,6.841,5.564,118.782,34.623,4.735,5.783,6.825,561.017,4686,THCA,D1D2_ref,0.024,0.028,0.113,0.007,0.002,0.012,0.155,0.035,0.183,0.131,0.154,0.05,0.012,0.025,0.056,0.012,0.052000000000000005,0.009000000000000001,0.28500000000000003
TCGA-EL-A3D1-01A,2.153,12.181,442.006,55.218,4.179,3.34,5.669,1138.703,4687,THCA,D1D2_ref,0.043,0.02,0.097,0.008,0.011,0.002,0.131,0.055,0.227,0.06,0.196,0.088,0.01,0.026,0.015,0.01,0.063,0.019,0.256
TCGA-FY-A3I4-01A,6.484,14.828,233.409,49.557,2.994,7.96,15.953,880.517,4688,THCA,D1D2_ref,0.033,0.022,0.097,0.007,0.018,0.002,0.0,0.044,0.279,0.1,0.222,0.043,0.006,0.028,0.073,0.026,0.055,0.024999999999999998,0.322
TCGA-DJ-A3UV-01A,6.11,17.793,315.355,39.058,2.84,12.56,8.249,519.249,4689,THCA,D1D2_ref,0.048,0.012,0.094,0.019,0.023,0.002,0.018,0.042,0.241,0.085,0.287,0.043,0.01,0.023,0.038,0.015,0.06,0.041999999999999996,0.372
TCGA-BJ-A28T-01A,30.03,37.587,242.599,68.387,4.508,51.426,10.198,399.09,4690,THCA,D1D2_ref,0.07,0.045,0.076,0.061,0.036,0.0,0.241,0.054,0.119,0.068,0.112,0.048,0.014,0.012,0.032,0.012,0.115,0.097,0.18
TCGA-EM-A3FQ-01A,14.92,28.536,116.283,112.874,6.166,28.819,13.878,1029.294,4691,THCA,D1D2_ref,0.031,0.025,0.101,0.016,0.022,0.001,0.224,0.109,0.144,0.076,0.126,0.046,0.012,0.008,0.041,0.017,0.056,0.038,0.202
TCGA-J8-A4HW-01A,1.128,8.111,173.62,13.959,2.139,3.826,13.292,994.552,4692,THCA,D1D2_ref,0.05,0.037,0.084,0.013,0.002,0.004,0.189,0.025,0.222,0.07,0.159,0.028,0.014,0.04,0.058,0.006,0.087,0.015,0.229
TCGA-MK-A4N6-01A,12.84,17.782,74.83,25.301,1.918,8.41,13.406,973.465,4693,THCA,D1D2_ref,0.021,0.02,0.105,0.014,0.013,0.003,0.186,0.04,0.144,0.117,0.167,0.043,0.011,0.016,0.084,0.016,0.041,0.027,0.28400000000000003
TCGA-DJ-A3V8-01A,4.868,9.851,109.149,23.575,1.73,3.201,8.477,709.929,4694,THCA,D1D2_ref,0.056,0.017,0.066,0.01,0.004,0.009,0.344,0.037,0.151,0.072,0.116,0.048,0.011,0.02,0.035,0.004,0.07300000000000001,0.014,0.188
TCGA-DJ-A1QI-01A,3.612,11.993,159.088,41.45,5.465,3.893,7.042,622.735,4695,THCA,D1D2_ref,0.03,0.033,0.114,0.012,0.014,0.005,0.17,0.027,0.177,0.094,0.183,0.047,0.007,0.022,0.054,0.012,0.063,0.026000000000000002,0.277
TCGA-EL-A3H8-01A,3.452,8.633,178.736,19.806,4.185,14.629,10.918,679.661,4696,THCA,D1D2_ref,0.037,0.03,0.095,0.01,0.004,0.007,0.212,0.016,0.18,0.084,0.16,0.041,0.011,0.034,0.073,0.008,0.067,0.014,0.244
TCGA-EM-A3O3-01A,9.401,15.748,32.804,78.256,3.292,244.159,19.727,595.163,4697,THCA,D1D2_ref,0.088,0.019,0.098,0.026,0.012,0.001,0.284,0.092,0.087,0.072,0.056,0.059,0.01,0.028,0.054,0.016,0.107,0.038,0.128
TCGA-IM-A3U3-01A,7.152,6.45,156.252,29.356,3.527,9.733,7.603,636.714,4698,THCA,D1D2_ref,0.042,0.023,0.091,0.016,0.003,0.006,0.317,0.054,0.144,0.068,0.123,0.055,0.01,0.022,0.023,0.003,0.065,0.019,0.191
TCGA-BJ-A191-01A,3.281,12.7,92.205,35.302,1.0,11.058,12.669,915.615,4699,THCA,D1D2_ref,0.085,0.069,0.087,0.01,0.018,0.01,0.233,0.035,0.146,0.06,0.127,0.019,0.005,0.044,0.051,0.002,0.15400000000000003,0.027999999999999997,0.187
TCGA-E8-A3X7-01A,2.176,4.969,86.73,23.638,3.693,18.538,6.384,610.366,4700,THCA,D1D2_ref,0.051,0.038,0.1,0.011,0.001,0.016,0.176,0.068,0.167,0.1,0.137,0.066,0.011,0.04,0.014,0.004,0.089,0.012,0.23700000000000002
TCGA-FY-A3YR-01A,4.906,4.879,87.423,15.76,2.842,15.543,5.038,502.152,4701,THCA,D1D2_ref,0.035,0.031,0.111,0.009,0.003,0.009,0.176,0.063,0.179,0.118,0.164,0.022,0.012,0.031,0.031,0.006,0.066,0.012,0.28200000000000003
TCGA-KS-A41I-01A,1.0,4.588,150.679,33.639,2.279,5.277,3.549,158.233,4702,THCA,D1D2_ref,0.092,0.019,0.063,0.016,0.005,0.011,0.115,0.053,0.232,0.047,0.191,0.127,0.011,0.01,0.003,0.005,0.111,0.021,0.238
TCGA-EL-A3CS-01A,2.019,20.889,168.232,11.827,1.712,1.265,7.144,561.327,4703,THCA,D1D2_ref,0.059,0.026,0.086,0.011,0.004,0.012,0.245,0.022,0.194,0.069,0.176,0.025,0.009,0.017,0.038,0.006,0.08499999999999999,0.015,0.245
TCGA-EL-A3GU-01A,2.87,5.391,100.425,23.93,4.05,1.273,10.315,513.12,4704,THCA,D1D2_ref,0.032,0.026,0.09,0.007,0.002,0.012,0.0,0.056,0.212,0.132,0.274,0.03,0.01,0.028,0.073,0.014,0.057999999999999996,0.009000000000000001,0.406
TCGA-EM-A1CU-01A,3.508,10.631,187.422,27.291,1.453,7.498,16.042,804.84,4705,THCA,D1D2_ref,0.032,0.033,0.109,0.011,0.006,0.005,0.202,0.019,0.237,0.077,0.112,0.044,0.007,0.031,0.058,0.02,0.065,0.017,0.189
TCGA-H2-A26U-01A,14.624,22.006,102.492,123.783,4.171,37.441,13.271,498.629,4706,THCA,D1D2_ref,0.028,0.014,0.084,0.054,0.027,0.001,0.195,0.074,0.123,0.117,0.107,0.08,0.009,0.012,0.06,0.017,0.042,0.081,0.224
TCGA-DJ-A2PT-01A,7.865,12.914,83.343,75.122,4.942,20.211,13.331,1096.207,4707,THCA,D1D2_ref,0.019,0.021,0.104,0.01,0.011,0.002,0.131,0.1,0.166,0.105,0.145,0.069,0.012,0.033,0.036,0.035,0.04,0.020999999999999998,0.25
TCGA-DJ-A3V6-01A,7.778,6.498,143.936,24.054,2.886,8.089,7.165,663.664,4708,THCA,D1D2_ref,0.032,0.023,0.108,0.011,0.003,0.004,0.214,0.042,0.179,0.082,0.162,0.037,0.011,0.027,0.047,0.019,0.055,0.013999999999999999,0.244
TCGA-DJ-A2Q7-01A,3.509,9.421,319.847,48.76,4.526,8.148,9.031,642.547,4709,THCA,D1D2_ref,0.047,0.03,0.097,0.026,0.006,0.003,0.165,0.029,0.224,0.07,0.183,0.058,0.008,0.026,0.025,0.004,0.077,0.032,0.253
TCGA-ET-A3BV-01A,26.856,28.294,77.826,42.661,71.385,16.927,12.752,1503.292,4710,THCA,D1D2_ref,0.019,0.045,0.149,0.017,0.008,0.002,0.0,0.056,0.149,0.156,0.19,0.033,0.015,0.024,0.09,0.047,0.064,0.025,0.346
TCGA-EL-A3ZL-01A,1.55,6.14,316.9,16.209,4.005,2.127,8.434,410.777,4711,THCA,D1D2_ref,0.023,0.033,0.089,0.008,0.005,0.011,0.0,0.022,0.273,0.077,0.301,0.105,0.009,0.023,0.016,0.005,0.056,0.013000000000000001,0.378
TCGA-CE-A13K-01A,2.122,15.824,718.843,30.867,7.986,8.199,9.734,405.269,4712,THCA,D1D2_ref,0.032,0.005,0.069,0.014,0.032,0.001,0.22,0.031,0.225,0.062,0.189,0.037,0.013,0.021,0.043,0.007,0.037,0.046,0.251
TCGA-DJ-A3UQ-01A,11.479,10.055,115.296,29.394,8.394,10.532,9.482,688.535,4713,THCA,D1D2_ref,0.024,0.027,0.131,0.017,0.007,0.004,0.0,0.062,0.198,0.155,0.204,0.04,0.015,0.023,0.075,0.019,0.051000000000000004,0.024,0.359
TCGA-BJ-A45H-01A,3.975,10.583,230.485,34.092,6.192,23.219,8.199,716.103,4714,THCA,D1D2_ref,0.046,0.012,0.096,0.015,0.017,0.002,0.157,0.037,0.214,0.078,0.197,0.049,0.013,0.029,0.029,0.009,0.057999999999999996,0.032,0.275
TCGA-L6-A4EU-01A,5.184,7.591,82.754,34.295,3.436,74.444,12.492,693.089,4715,THCA,D1D2_ref,0.042,0.02,0.111,0.015,0.002,0.003,0.116,0.094,0.178,0.108,0.165,0.043,0.016,0.034,0.042,0.013,0.062,0.017,0.273
TCGA-DJ-A3VM-01A,1.0,3.883,257.352,24.771,2.731,1.007,4.857,205.388,4716,THCA,D1D2_ref,0.045,0.023,0.069,0.009,0.006,0.009,0.383,0.008,0.197,0.046,0.106,0.05,0.015,0.012,0.018,0.004,0.068,0.015,0.152
TCGA-H2-A3RH-01A,1.0,44.462,556.617,53.986,3.045,2.004,9.122,613.738,4717,THCA,D1D2_ref,0.05,0.013,0.069,0.008,0.012,0.003,0.283,0.024,0.2,0.059,0.151,0.047,0.014,0.021,0.039,0.008,0.063,0.02,0.21
TCGA-EL-A3ZR-01A,1.0,11.896,511.444,26.608,1.677,1.343,5.516,428.379,4718,THCA,D1D2_ref,0.077,0.012,0.06,0.011,0.008,0.004,0.353,0.024,0.19,0.047,0.124,0.031,0.013,0.018,0.023,0.004,0.089,0.019,0.17099999999999999
TCGA-BJ-A291-01A,1.0,4.874,825.072,18.54,3.353,4.022,3.691,243.703,4719,THCA,D1D2_ref,0.082,0.019,0.091,0.011,0.013,0.006,0.056,0.015,0.301,0.052,0.248,0.024,0.012,0.03,0.016,0.023,0.101,0.024,0.3
TCGA-MK-A4N9-01A,1.907,9.483,188.482,12.803,1.909,11.124,12.825,590.892,4720,THCA,D1D2_ref,0.034,0.037,0.1,0.014,0.013,0.008,0.038,0.014,0.244,0.082,0.286,0.044,0.005,0.03,0.043,0.009,0.07100000000000001,0.027,0.368
TCGA-EL-A3MZ-01A,3.941,7.897,112.595,19.014,2.027,3.937,8.567,520.238,4721,THCA,D1D2_ref,0.037,0.029,0.1,0.014,0.001,0.014,0.137,0.035,0.216,0.109,0.178,0.037,0.009,0.037,0.027,0.02,0.066,0.015,0.287
TCGA-EM-A2CP-01A,16.241,42.06,364.643,122.933,1.886,63.237,11.478,485.625,4722,THCA,D1D2_ref,0.091,0.019,0.085,0.06,0.029,0.0,0.23,0.033,0.133,0.038,0.125,0.096,0.011,0.016,0.029,0.006,0.11,0.089,0.163
TCGA-DJ-A2PZ-01A,4.763,7.519,98.824,30.58,3.097,4.541,7.566,574.374,4723,THCA,D1D2_ref,0.032,0.025,0.072,0.007,0.002,0.014,0.346,0.035,0.156,0.084,0.092,0.052,0.012,0.024,0.041,0.005,0.057,0.009000000000000001,0.176
TCGA-EL-A3ZG-01A,1.161,7.976,338.348,24.531,2.115,10.166,6.59,632.256,4724,THCA,D1D2_ref,0.066,0.026,0.072,0.034,0.002,0.006,0.131,0.028,0.229,0.055,0.233,0.048,0.005,0.039,0.014,0.008,0.092,0.036000000000000004,0.28800000000000003
TCGA-FE-A3PC-01A,1.63,6.552,113.047,18.787,1.932,10.851,7.375,521.502,4725,THCA,D1D2_ref,0.053,0.016,0.057,0.013,0.005,0.015,0.244,0.019,0.182,0.059,0.165,0.129,0.007,0.022,0.008,0.004,0.069,0.018,0.224
TCGA-BJ-A0YZ-01A,1.0,6.477,326.777,23.983,3.399,2.664,5.573,743.521,4726,THCA,D1D2_ref,0.055,0.036,0.087,0.006,0.006,0.011,0.02,0.012,0.283,0.077,0.276,0.052,0.011,0.032,0.022,0.014,0.091,0.012,0.35300000000000004
TCGA-DJ-A13M-01A,1.0,6.411,181.427,30.988,1.0,2.077,4.779,850.718,4727,THCA,D1D2_ref,0.08,0.019,0.085,0.011,0.008,0.003,0.356,0.042,0.15,0.047,0.106,0.04,0.02,0.02,0.01,0.002,0.099,0.019,0.153
TCGA-EM-A3OA-01A,1.0,10.693,319.969,5.928,1.175,4.766,3.313,462.546,4728,THCA,D1D2_ref,0.1,0.016,0.058,0.004,0.019,0.007,0.358,0.036,0.182,0.04,0.094,0.034,0.015,0.018,0.012,0.005,0.116,0.023,0.134
TCGA-J8-A3YE-01A,1.0,12.428,83.38,10.906,1.0,6.73,14.936,517.85,4729,THCA,D1D2_ref,0.068,0.035,0.082,0.015,0.003,0.009,0.339,0.044,0.157,0.053,0.105,0.03,0.01,0.025,0.022,0.004,0.10300000000000001,0.018,0.158
TCGA-BJ-A0Z9-01A,6.937,22.809,42.149,39.653,1.96,1.354,13.882,1298.058,4730,THCA,D1D2_ref,0.029,0.013,0.114,0.012,0.005,0.003,0.352,0.055,0.118,0.07,0.08,0.038,0.01,0.031,0.061,0.009,0.042,0.017,0.15000000000000002
TCGA-EL-A3CW-01A,26.88,29.292,157.728,38.833,2.653,18.207,6.614,402.072,4731,THCA,D1D2_ref,0.066,0.13,0.084,0.013,0.041,0.001,0.129,0.043,0.161,0.066,0.174,0.031,0.01,0.006,0.034,0.011,0.196,0.054,0.24
TCGA-FY-A3R6-01A,17.403,25.426,296.933,79.154,7.125,36.74,9.01,520.227,4732,THCA,D1D2_ref,0.078,0.023,0.07,0.043,0.035,0.0,0.209,0.057,0.165,0.071,0.14,0.047,0.012,0.009,0.029,0.011,0.101,0.078,0.21100000000000002
TCGA-H2-A2K9-01A,1.0,47.422,555.025,23.814,2.429,1.749,7.218,333.958,4733,THCA,D1D2_ref,0.07,0.028,0.11,0.014,0.007,0.003,0.129,0.015,0.241,0.065,0.202,0.037,0.012,0.026,0.027,0.015,0.098,0.021,0.267
TCGA-DJ-A2PO-01A,3.823,9.117,320.176,79.065,7.976,23.621,9.222,473.081,4734,THCA,D1D2_ref,0.041,0.016,0.053,0.055,0.023,0.001,0.355,0.016,0.149,0.06,0.092,0.07,0.01,0.011,0.04,0.006,0.057,0.078,0.152
TCGA-FY-A40N-01A,2.636,9.198,111.209,37.807,2.218,11.647,9.663,575.828,4735,THCA,D1D2_ref,0.089,0.024,0.055,0.03,0.025,0.003,0.321,0.029,0.145,0.054,0.092,0.055,0.008,0.039,0.03,0.002,0.11299999999999999,0.055,0.146
TCGA-EM-A1YD-01A,2.79,5.669,765.623,28.789,4.378,6.215,2.691,326.553,4736,THCA,D1D2_ref,0.053,0.015,0.081,0.012,0.023,0.002,0.0,0.014,0.294,0.067,0.316,0.019,0.011,0.036,0.039,0.019,0.068,0.035,0.383
TCGA-DE-A69J-01A,7.263,10.409,135.765,25.265,2.804,29.9,12.889,845.006,4737,THCA,D1D2_ref,0.037,0.026,0.109,0.018,0.003,0.002,0.248,0.041,0.158,0.07,0.137,0.038,0.008,0.044,0.048,0.012,0.063,0.020999999999999998,0.20700000000000002
TCGA-EL-A3MX-01A,2.679,17.079,136.786,13.174,1.0,2.245,23.461,870.911,4738,THCA,D1D2_ref,0.056,0.035,0.099,0.011,0.001,0.05,0.335,0.039,0.103,0.076,0.085,0.029,0.014,0.029,0.03,0.008,0.091,0.012,0.161
TCGA-J8-A3YG-01A,7.042,11.266,132.079,34.951,3.27,5.223,12.448,591.047,4739,THCA,D1D2_ref,0.037,0.017,0.098,0.009,0.006,0.003,0.31,0.047,0.164,0.079,0.087,0.048,0.009,0.024,0.057,0.006,0.054,0.015,0.16599999999999998
TCGA-BJ-A0ZC-01A,1.338,5.613,372.376,13.547,2.695,4.503,4.151,378.448,4740,THCA,D1D2_ref,0.071,0.027,0.09,0.006,0.021,0.003,0.062,0.022,0.263,0.059,0.263,0.028,0.015,0.032,0.028,0.01,0.09799999999999999,0.027000000000000003,0.322
TCGA-FY-A40K-01A,10.418,12.921,351.465,71.359,5.413,10.1,12.801,397.654,4741,THCA,D1D2_ref,0.023,0.018,0.064,0.011,0.012,0.006,0.347,0.021,0.163,0.074,0.069,0.123,0.004,0.017,0.041,0.006,0.040999999999999995,0.023,0.14300000000000002
TCGA-EL-A4K6-01A,1.0,8.727,123.143,21.982,1.0,1.0,8.531,299.054,4742,THCA,D1D2_ref,0.094,0.017,0.034,0.007,0.019,0.043,0.527,0.007,0.103,0.033,0.039,0.022,0.013,0.007,0.029,0.004,0.111,0.026,0.07200000000000001
TCGA-EL-A3H3-01A,12.02,19.067,85.414,66.699,6.405,9.494,4.963,586.236,4743,THCA,D1D2_ref,0.026,0.006,0.106,0.006,0.021,0.004,0.336,0.116,0.127,0.054,0.089,0.059,0.012,0.017,0.015,0.007,0.032,0.027000000000000003,0.143
TCGA-BJ-A290-01A,1.413,6.964,235.801,19.745,2.516,2.987,7.286,400.678,4744,THCA,D1D2_ref,0.026,0.068,0.134,0.024,0.001,0.028,0.0,0.017,0.181,0.07,0.32,0.038,0.006,0.04,0.035,0.013,0.094,0.025,0.39
TCGA-BJ-A28Z-01A,17.014,26.877,220.707,113.599,7.823,56.793,10.122,338.639,4745,THCA,D1D2_ref,0.077,0.029,0.068,0.048,0.033,0.0,0.214,0.055,0.143,0.078,0.109,0.073,0.01,0.007,0.037,0.019,0.106,0.081,0.187
TCGA-CE-A484-01A,1.0,7.245,282.568,27.789,4.092,3.959,7.428,481.108,4746,THCA,D1D2_ref,0.061,0.01,0.044,0.02,0.014,0.003,0.277,0.021,0.196,0.05,0.191,0.068,0.005,0.017,0.021,0.002,0.071,0.034,0.241
TCGA-EM-A3FL-01A,1.404,5.621,184.061,11.263,1.0,2.369,2.102,400.046,4747,THCA,D1D2_ref,0.099,0.035,0.067,0.005,0.009,0.006,0.401,0.015,0.133,0.044,0.094,0.037,0.017,0.018,0.016,0.003,0.134,0.013999999999999999,0.138
TCGA-EL-A3GO-01A,1.254,3.876,571.488,20.653,3.763,7.449,3.848,791.221,4748,THCA,D1D2_ref,0.037,0.016,0.051,0.025,0.014,0.002,0.229,0.011,0.296,0.043,0.165,0.03,0.01,0.034,0.023,0.013,0.053,0.039,0.20800000000000002
TCGA-ET-A39T-01A,1.161,10.054,145.054,26.058,1.495,13.913,7.187,628.844,4749,THCA,D1D2_ref,0.052,0.026,0.065,0.014,0.002,0.011,0.403,0.021,0.122,0.054,0.109,0.043,0.009,0.03,0.035,0.003,0.078,0.016,0.163
TCGA-EM-A2CK-01A,1.0,3.249,441.402,22.536,3.105,3.793,2.905,403.344,4750,THCA,D1D2_ref,0.067,0.015,0.072,0.011,0.016,0.005,0.286,0.013,0.232,0.045,0.151,0.03,0.014,0.018,0.02,0.005,0.082,0.027,0.196
TCGA-DJ-A4UQ-01A,4.375,11.958,183.06,26.413,4.334,6.473,10.649,813.686,4751,THCA,D1D2_ref,0.048,0.017,0.077,0.014,0.017,0.002,0.134,0.032,0.216,0.084,0.211,0.039,0.009,0.027,0.061,0.012,0.065,0.031,0.295
TCGA-DJ-A3UO-01A,1.569,18.434,212.79,20.659,2.024,4.338,5.615,873.944,4752,THCA,D1D2_ref,0.062,0.028,0.118,0.015,0.004,0.004,0.178,0.025,0.19,0.074,0.188,0.028,0.01,0.031,0.04,0.006,0.09,0.019,0.262
TCGA-DJ-A1QM-01A,6.334,7.378,235.932,23.02,3.509,4.207,6.015,517.226,4753,THCA,D1D2_ref,0.058,0.022,0.116,0.008,0.014,0.002,0.0,0.042,0.225,0.105,0.234,0.038,0.013,0.022,0.074,0.028,0.08,0.022,0.339
TCGA-ET-A3BS-01A,14.581,19.196,169.152,79.08,6.693,24.968,10.848,593.899,4754,THCA,D1D2_ref,0.086,0.023,0.075,0.04,0.014,0.003,0.375,0.018,0.108,0.059,0.072,0.093,0.007,0.008,0.018,0.002,0.10899999999999999,0.054,0.131
TCGA-EM-A3AO-01A,4.625,11.923,326.384,28.915,5.621,16.278,7.678,424.163,4755,THCA,D1D2_ref,0.052,0.012,0.072,0.01,0.012,0.004,0.287,0.049,0.188,0.039,0.141,0.093,0.008,0.024,0.007,0.002,0.064,0.022,0.18
TCGA-DJ-A3UN-01A,2.871,7.716,270.422,42.391,6.676,18.179,9.326,495.954,4756,THCA,D1D2_ref,0.033,0.021,0.066,0.016,0.008,0.004,0.321,0.007,0.166,0.061,0.15,0.09,0.009,0.022,0.023,0.004,0.054000000000000006,0.024,0.211
TCGA-DJ-A13W-01A,1.0,3.383,532.163,4.88,1.438,2.732,2.216,109.847,4757,THCA,D1D2_ref,0.068,0.022,0.017,0.003,0.035,0.062,0.291,0.015,0.234,0.025,0.12,0.045,0.035,0.01,0.001,0.016,0.09,0.038000000000000006,0.145
TCGA-DJ-A3VE-01A,1.459,7.887,234.945,42.54,5.203,6.352,15.969,685.857,4758,THCA,D1D2_ref,0.031,0.033,0.066,0.009,0.003,0.012,0.199,0.025,0.246,0.076,0.134,0.047,0.006,0.04,0.063,0.008,0.064,0.012,0.21000000000000002
TCGA-DJ-A3VI-01A,1.819,6.941,68.732,20.674,1.03,5.134,6.265,521.938,4759,THCA,D1D2_ref,0.066,0.02,0.064,0.014,0.003,0.009,0.426,0.022,0.123,0.059,0.065,0.055,0.01,0.028,0.033,0.002,0.08600000000000001,0.017,0.124
TCGA-EM-A2CO-01A,1.0,2.847,141.815,10.776,1.356,1.02,2.27,232.907,4760,THCA,D1D2_ref,0.097,0.017,0.066,0.006,0.01,0.006,0.39,0.019,0.147,0.029,0.122,0.052,0.015,0.011,0.005,0.01,0.114,0.016,0.151
TCGA-ET-A39L-01A,1.368,8.385,590.337,43.44,9.471,6.314,8.622,599.334,4761,THCA,D1D2_ref,0.05,0.007,0.059,0.009,0.017,0.002,0.302,0.017,0.231,0.049,0.134,0.036,0.012,0.018,0.05,0.008,0.057,0.026000000000000002,0.183
TCGA-EM-A3FO-01A,1.427,9.519,149.134,17.412,1.0,5.341,16.313,1180.482,4762,THCA,D1D2_ref,0.05,0.014,0.088,0.005,0.018,0.021,0.396,0.036,0.112,0.067,0.09,0.024,0.014,0.023,0.035,0.008,0.064,0.023,0.157
TCGA-E8-A418-01A,3.825,13.193,67.353,27.264,1.147,16.03,6.928,602.047,4763,THCA,D1D2_ref,0.045,0.013,0.08,0.018,0.006,0.003,0.467,0.03,0.085,0.04,0.06,0.092,0.01,0.031,0.015,0.003,0.057999999999999996,0.024,0.1
TCGA-DE-A4M9-01A,1.0,16.202,118.723,20.064,1.503,1.0,11.415,533.982,4764,THCA,D1D2_ref,0.057,0.018,0.077,0.008,0.018,0.009,0.084,0.016,0.197,0.075,0.291,0.029,0.011,0.023,0.081,0.007,0.075,0.026,0.366
TCGA-BJ-A28W-01A,36.066,85.002,181.418,126.263,2.162,105.757,6.892,275.191,4765,THCA,D1D2_ref,0.116,0.133,0.138,0.037,0.029,0.002,0.114,0.104,0.101,0.047,0.064,0.092,0.006,0.012,0.002,0.004,0.249,0.066,0.111
TCGA-DJ-A2Q6-01A,7.347,9.597,202.633,22.996,8.152,6.803,8.357,584.081,4766,THCA,D1D2_ref,0.025,0.043,0.106,0.011,0.016,0.004,0.037,0.026,0.262,0.1,0.231,0.04,0.011,0.017,0.062,0.009,0.068,0.027,0.331
TCGA-EL-A3N2-01A,5.295,6.501,130.198,18.685,2.128,8.229,8.116,495.47,4767,THCA,D1D2_ref,0.037,0.024,0.092,0.007,0.006,0.008,0.285,0.031,0.19,0.081,0.121,0.03,0.011,0.022,0.051,0.004,0.061,0.013000000000000001,0.202
TCGA-FK-A3SG-01A,2.275,10.311,290.848,25.423,1.489,3.86,5.173,994.237,4768,THCA,D1D2_ref,0.045,0.014,0.099,0.011,0.018,0.004,0.203,0.015,0.216,0.053,0.192,0.087,0.012,0.015,0.011,0.008,0.059,0.028999999999999998,0.245
