,Non-plasma B cells,Plasma B cells,CD4 T,CD8 T (GZMK high),CD8 T effector,DC,Endothelial Cells,Cancer Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Double-neg-like T,Monocytes
s_segment_1_4504,0,0.0246,0.0037,0.1571,0,0.0001,0,0.3724,0.0009,0.0031,0.4314,0,0.0042,0.0025,0,0
s_segment_1_4508,0.0001,0.0006,0.0193,0,0.0193,0.0392,0.2019,0.012,0.6554,0,0.0508,0,0.0013,0,0.0001,0
s_segment_1_4512,0,0,0.0632,0.1523,0,0,0.0003,0.7772,0,0,0.0001,0,0,0.0068,0.0001,0
s_segment_1_453,0,0.0001,0,0.0001,0.1248,0,0.0014,0.4688,0.0003,0,0.2543,0.0013,0.0001,0.0004,0.0125,0.1359
s_segment_1_4540,0.4614,0,0,0,0,0.0132,0.0006,0.4306,0.0621,0.0204,0.0037,0.0001,0.0026,0,0,0.0053
s_segment_1_4559,0.0059,0.0067,0,0.0001,0.1572,0,0.0289,0.0727,0.4342,0.0006,0.023,0.2626,0.0012,0.0067,0,0.0002
s_segment_1_4569,0.0006,0.0069,0.0001,0.0002,0,0.0696,0.002,0.8979,0.0198,0.0001,0.0001,0.0001,0.0003,0.0006,0.0017,0
s_segment_1_4575,0,0.0099,0.0198,0.0005,0.0684,0.3438,0.0246,0.3486,0.177,0.0009,0.0001,0.003,0.0001,0.0032,0.0001,0
s_segment_1_4580,0,0.0004,0,0.0004,0.0002,0,0.0004,0.2322,0.0027,0.7573,0,0,0.0033,0.0013,0.0017,0.0001
s_segment_1_4582,0.0011,0.0294,0.001,0.0591,0.1271,0.0014,0.2096,0.028,0.4299,0.02,0.0002,0.0098,0.0078,0.0178,0.0577,0.0001
s_segment_1_4583,0.125,0.0002,0,0.0229,0.0017,0.0001,0,0.3942,0,0,0.2936,0.0001,0.0175,0,0.1447,0
s_segment_1_459,0.0579,0,0,0.0238,0,0.0008,0.1198,0,0.6711,0,0,0.0001,0,0.0001,0.0023,0.1241
s_segment_1_4633,0.0632,0.0539,0.004,0.0001,0.0111,0,0.0166,0.0836,0.3049,0.0001,0.0524,0,0,0.0002,0.4092,0.0007
s_segment_1_4649,0,0.1453,0.0001,0,0,0,0.0047,0.6948,0.0165,0.1383,0,0,0,0.0003,0,0
s_segment_1_4662,0.0448,0,0.2381,0.0301,0.0001,0.0071,0,0.6348,0,0.0001,0,0,0,0,0.0001,0.0448
s_segment_1_4671,0.0024,0,0.0001,0.0096,0,0,0.6177,0.2935,0,0.0002,0.0757,0,0,0.0006,0.0002,0
s_segment_1_4674,0,0,0,0,0,0.2676,0.407,0.0033,0.2586,0.0438,0.0001,0.0196,0,0,0,0
s_segment_1_4680,0,0,0.0001,0,0,0,0.5879,0.4117,0,0,0.0001,0,0.0002,0,0,0
s_segment_1_4690,0.0042,0.4439,0.0001,0.0233,0.0002,0,0.0057,0.2288,0.1685,0.1129,0,0.0001,0.0119,0.0003,0.0001,0
s_segment_1_4695,0,0,0.0661,0,0,0.0139,0.0001,0.7523,0,0,0.0947,0.0027,0.0129,0,0.0026,0.0547
s_segment_1_4698,0.1942,0,0,0,0,0.1762,0.0001,0.2539,0.0001,0.0001,0.2978,0.0762,0,0.001,0,0.0004
s_segment_1_47,0,0,0,0.0671,0.0012,0,0.3691,0.0032,0.0039,0.3541,0.0121,0.0002,0.0007,0.0007,0.0001,0.1876
s_segment_1_4708,0.0001,0,0.0157,0,0,0.0092,0.1146,0.1868,0.1041,0.5581,0.0002,0.0112,0,0,0,0
s_segment_1_4722,0.004,0.0022,0,0.0029,0,0,0.0001,0.9504,0.0139,0,0.0243,0,0.002,0,0.0002,0
s_segment_1_4723,0.0013,0.013,0.0014,0,0,0.4106,0.0001,0.5724,0,0,0,0,0,0.0012,0,0
s_segment_1_4733,0.0002,0.0044,0.0903,0.0048,0.0008,0.0096,0.0568,0.0003,0.7443,0.0001,0.0002,0.0034,0.0627,0.0105,0.0001,0.0115
s_segment_1_4762,0,0,0,0.2568,0,0,0.0769,0.4663,0.1513,0.0002,0.0003,0,0.0479,0.0002,0.0001,0
s_segment_1_4773,0.0006,0.0551,0,0.0014,0.0003,0.0017,0.1762,0.7618,0,0,0.0025,0,0.0001,0.0003,0,0
s_segment_1_4794,0.0001,0.0005,0.0001,0,0.1509,0,0,0.8467,0,0,0,0,0.0002,0.0015,0,0
s_segment_1_4795,0,0.002,0.2391,0.0001,0.005,0.1685,0.0089,0.5722,0.0016,0,0.0001,0,0,0.0025,0,0
s_segment_1_4796,0,0.0007,0.0448,0,0.0019,0.0001,0.0541,0.389,0.4632,0.0317,0.0018,0,0.0001,0,0.0001,0.0125
s_segment_1_4809,0,0.0001,0,0,0.0182,0,0,0.9105,0.0012,0,0.002,0.0001,0,0,0.0633,0.0046
s_segment_1_4830,0.0136,0.0045,0.0011,0.0006,0.0181,0.1261,0.0003,0.6581,0.0002,0.0003,0.0298,0.0001,0.041,0.1052,0.0006,0.0004
s_segment_1_4838,0.0071,0.0316,0,0.003,0.0024,0.0064,0.0007,0.4371,0.0001,0.0132,0.0001,0,0.0598,0.0223,0.3885,0.0277
s_segment_1_4844,0.0069,0.0029,0.0373,0.0054,0,0.0003,0,0.4288,0.0052,0,0.024,0.1227,0.0152,0.0017,0.3495,0.0001
s_segment_1_4846,0.0001,0.0003,0,0.002,0.1529,0.0006,0.5903,0.2443,0,0.0007,0.0001,0,0.0067,0,0.0001,0.0019
s_segment_1_485,0.0291,0.0063,0.0017,0.0002,0.0025,0.001,0.0036,0.1195,0.238,0.0002,0.0009,0.0045,0.0008,0.0049,0,0.5868
s_segment_1_4857,0,0,0,0,0.0055,0.0017,0.0009,0.4828,0.4794,0.0039,0.0001,0,0,0,0.0252,0.0005
s_segment_1_4876,0.1478,0.043,0.0022,0.0063,0.0134,0.1171,0.0003,0.4792,0.0744,0.0572,0.0025,0.0429,0.0134,0,0.0001,0.0002
s_segment_1_4880,0.0013,0.0112,0.1035,0,0,0.0014,0.0014,0.1272,0.0472,0.7067,0,0,0,0,0,0.0001
s_segment_1_4882,0.0002,0.0017,0.0098,0.0012,0.1207,0.3239,0.0077,0.059,0.0746,0.3364,0.0036,0,0.0606,0.0001,0.0004,0.0001
s_segment_1_4887,0.0038,0,0,0.0073,0.0001,0,0,0.9762,0.0121,0,0,0.0004,0,0,0,0.0001
s_segment_1_4891,0,0,0.0011,0.0011,0,0,0.0001,0.1956,0.0165,0.5807,0.0079,0.0001,0,0,0.0701,0.1268
s_segment_1_4898,0,0.0414,0.0001,0.0001,0.0008,0.0002,0.2645,0.5131,0,0.0027,0.0065,0,0.0222,0.0101,0.0228,0.1155
s_segment_1_4903,0.0071,0,0.0002,0,0.0001,0,0.0001,0.9898,0.0002,0.0001,0.0023,0,0,0.0001,0,0
s_segment_1_4905,0.0064,0.0051,0,0.0309,0.0017,0,0.3581,0.2944,0,0.2855,0,0.0038,0,0.0002,0.0137,0.0002
s_segment_1_4909,0,0.0013,0,0.0015,0,0,0.0013,0.8874,0,0,0,0,0.0001,0,0.1084,0
s_segment_1_491,0.1027,0.0386,0.0245,0.0016,0.0716,0.0013,0.2988,0.0021,0.2705,0.1751,0.0003,0.0001,0.0002,0,0.0025,0.0101
s_segment_1_4922,0,0.0001,0,0,0,0,0.0002,0.7792,0,0.0137,0,0,0,0.2068,0,0
s_segment_1_4927,0.5579,0,0.0058,0.0182,0,0.0872,0,0.2568,0.0039,0.0689,0.0002,0.0001,0.0009,0,0,0.0001
s_segment_1_4939,0,0.0413,0,0,0.0001,0,0.3954,0.5455,0.0005,0.0041,0.0001,0,0,0.0003,0.0127,0
s_segment_1_4946,0.0154,0.057,0.0005,0,0,0.034,0.0006,0.2523,0.0002,0,0.083,0.0199,0.0001,0,0.5369,0.0001
s_segment_1_4947,0,0.0001,0.0656,0.0001,0,0.0712,0,0.5163,0.0023,0.297,0,0.0255,0.0001,0.0018,0.02,0
s_segment_1_4951,0.0239,0,0,0,0,0.0001,0.0193,0.4938,0,0,0.0114,0,0.0848,0,0.3667,0
s_segment_1_4953,0,0.0028,0,0,0,0,0.7096,0.0582,0.0119,0.2075,0.0008,0,0,0.0083,0.0008,0.0001
s_segment_1_4960,0,0,0,0.001,0.0097,0,0,0.5254,0,0.0001,0.0001,0.4635,0.0001,0,0,0.0001
s_segment_1_4963,0,0.0001,0.17,0.0005,0.0008,0,0.0002,0.0331,0.6037,0.0393,0.004,0.0302,0.0005,0.003,0.0826,0.032
s_segment_1_4970,0.0001,0.0394,0,0.2941,0,0,0.0326,0.3207,0,0.2143,0.0001,0.0012,0,0,0.0187,0.0788
s_segment_1_4975,0.0482,0.0045,0.0007,0,0,0,0.207,0.7036,0,0.0001,0,0.0077,0,0,0,0.0282
s_segment_1_4979,0,0,0.0428,0,0.0018,0.0001,0,0.1543,0,0.5776,0.0536,0,0.0001,0,0.1697,0
s_segment_1_4990,0,0.001,0,0,0,0.0085,0.0008,0.836,0.1435,0,0,0,0.0001,0.0097,0.0004,0
s_segment_1_50,0.0263,0.0182,0,0,0.0001,0.6381,0.2523,0.0436,0.0118,0.0086,0.0006,0,0.0004,0,0,0
s_segment_1_505,0.0028,0,0,0.0001,0.0031,0.1639,0.0016,0.5423,0,0.0113,0,0.0008,0,0.0086,0.0002,0.2653
s_segment_1_509,0,0,0,0,0,0.0001,0.2778,0,0.6327,0,0.0001,0.0042,0,0,0,0.0851
s_segment_1_517,0.0749,0,0.0732,0.0004,0.0007,0.0563,0,0.7665,0,0.0057,0.0215,0.0001,0,0.0001,0,0.0006
s_segment_1_518,0.1696,0,0.0001,0.0001,0.0794,0.1945,0.0003,0.0136,0.4576,0.0025,0.0009,0.0013,0,0,0.0003,0.0798
s_segment_1_520,0.0002,0.3636,0.1362,0,0.0001,0.1416,0,0.0595,0.2652,0.0005,0.0238,0,0,0,0.0003,0.009
s_segment_1_523,0.0002,0.0057,0.0733,0,0,0.0001,0.4828,0.4257,0.0008,0,0,0,0,0,0.0003,0.0111
s_segment_1_524,0,0.0001,0.0217,0,0,0.0006,0.1242,0.1584,0,0.2044,0.0001,0.0358,0,0.0001,0.4472,0.0074
s_segment_1_534,0.0001,0.0001,0.0002,0,0,0.0004,0,0.3129,0.1606,0.4881,0,0.0113,0,0.0256,0.0007,0
s_segment_1_56,0,0,0,0,0.0001,0.0004,0,0.8596,0.071,0.065,0.0001,0,0,0,0.0022,0.0016
s_segment_1_563,0.3051,0,0,0.0001,0,0,0,0.4385,0.0022,0.0091,0.0001,0,0.0002,0.0004,0.2442,0.0001
s_segment_1_565,0,0.1264,0.0038,0,0,0.2989,0.022,0.0011,0.3407,0.0001,0.1644,0.0001,0,0.0425,0,0
s_segment_1_572,0,0.0001,0.0009,0.0001,0.0004,0.0001,0,0.1506,0.8082,0.0311,0,0,0.0017,0.0001,0.0067,0
s_segment_1_579,0.0002,0,0,0.0003,0,0.3155,0.1684,0,0.0002,0.4748,0.0076,0,0.0263,0,0.0067,0
s_segment_1_583,0.0231,0,0,0,0.0182,0.1666,0,0.73,0,0.0467,0,0,0.0149,0.0001,0.0004,0
s_segment_1_599,0.0156,0.0264,0.0001,0.0017,0.0001,0.0003,0.0394,0.2097,0.0077,0,0.0105,0.0009,0,0.0015,0.5745,0.1116
s_segment_1_60,0.0001,0.0037,0,0.0001,0.0038,0.1109,0.0005,0.3751,0.4543,0.0003,0.008,0.0004,0,0.0055,0.0351,0.0022
s_segment_1_607,0.0004,0.0001,0.003,0.0013,0,0,0.6992,0.0005,0.2539,0.0046,0.0009,0.0003,0,0,0,0.0358
s_segment_1_61,0.0678,0.1263,0.2112,0,0.0001,0,0.0019,0,0.2855,0.0267,0.2794,0.0007,0,0,0.0004,0
s_segment_1_610,0.0245,0.0046,0.0046,0.0285,0.0041,0.0001,0,0.108,0.0845,0.667,0.0017,0.0639,0.0065,0,0.0017,0.0003
s_segment_1_612,0,0,0.0014,0,0.0499,0,0.033,0.3092,0.0506,0.0001,0.0001,0.2134,0.105,0,0.2373,0
s_segment_1_62,0,0.0556,0.0165,0.0019,0.0019,0.0002,0,0.7546,0.1249,0.0195,0,0.0204,0.0001,0.0001,0.0043,0
s_segment_1_622,0,0.0027,0.0754,0.0012,0,0,0.0807,0,0.8298,0.0084,0.0001,0.0005,0.0011,0,0,0.0001
s_segment_1_624,0,0,0.0742,0.0001,0.0543,0.1234,0,0.5798,0.0002,0.0624,0,0.0788,0,0.024,0.0027,0.0001
s_segment_1_665,0.0154,0.1085,0.0005,0,0,0,0.0012,0.0001,0.7072,0.0668,0.0586,0.0003,0.0413,0,0,0.0001
s_segment_1_668,0.0065,0.0047,0.0159,0.0004,0.0047,0,0.0002,0.6896,0.0003,0.0848,0.0001,0.0366,0.0002,0.0048,0.0058,0.1454
s_segment_1_67,0.004,0.001,0,0.0003,0,0.0002,0.0112,0.6767,0.0001,0.0006,0.0037,0.1978,0.0038,0.0028,0.0759,0.0219
s_segment_1_670,0,0,0,0,0,0.0001,0.0006,0.9578,0,0,0.0182,0.023,0.0002,0.0001,0,0
s_segment_1_69,0.0001,0.1097,0.1771,0.0004,0,0.0013,0,0.2509,0.0001,0.1682,0.0033,0.2337,0,0,0,0.0552
s_segment_1_70,0.0127,0.0008,0.0022,0.0848,0.1178,0.1428,0.1397,0.0001,0.1116,0.0017,0.3605,0,0.0038,0.0002,0.0196,0.0017
s_segment_1_705,0.2802,0,0,0.0134,0,0.1284,0,0.3445,0.0083,0.0088,0.1553,0.0243,0.0001,0.0001,0.0001,0.0365
s_segment_1_706,0,0.0001,0,0.002,0,0,0.0966,0,0.6609,0.2189,0,0.0012,0,0,0,0.0203
s_segment_1_713,0,0.0035,0.0002,0.0098,0.0059,0.252,0.0002,0.0013,0.7174,0.0011,0,0.0076,0.0004,0.0004,0.0002,0
s_segment_1_738,0.0005,0.0865,0.0044,0.0048,0.012,0.0001,0.0021,0.5769,0.0004,0.0108,0.012,0,0.0001,0.0127,0.0053,0.2714
s_segment_1_747,0.1155,0,0,0.0053,0,0.0297,0,0.1457,0.1592,0.0022,0.5421,0.0002,0.0001,0,0,0
s_segment_1_75,0.1167,0.0001,0,0.1537,0,0,0,0.5185,0,0,0,0.0001,0.0001,0,0,0.2108
s_segment_1_764,0.0012,0.0047,0.0083,0.0001,0.0321,0,0.0047,0.5578,0.1258,0.2059,0.0003,0.0009,0,0.0579,0,0.0003
s_segment_1_782,0.0124,0,0.0154,0.0002,0.0011,0,0.0831,0.7769,0.0874,0.0001,0,0.0208,0.0026,0,0,0
s_segment_1_81,0,0,0.0006,0,0,0.6081,0.0037,0.3751,0.0079,0,0.0045,0,0,0,0.0001,0
s_segment_1_831,0.0086,0.0022,0,0.0053,0.0002,0.2445,0.0012,0.1395,0.1885,0.0461,0.0024,0.0001,0.0001,0,0,0.3613
s_segment_1_842,0.0001,0.061,0.0021,0.0001,0.0004,0.3592,0.0004,0.4355,0.0001,0,0,0.0209,0,0,0.0003,0.1199
s_segment_1_847,0.0134,0.0001,0.0038,0.0004,0.0001,0,0.0054,0.5092,0.0027,0,0,0,0,0.004,0.4484,0.0125
s_segment_1_85,0.0031,0,0.0001,0,0.0001,0.0099,0.1162,0.0025,0.8408,0.0223,0,0.0001,0,0.0034,0.0014,0.0001
s_segment_1_868,0.0163,0.0147,0,0,0.0001,0,0.0746,0.3166,0,0.0001,0,0.0087,0,0,0.0004,0.5685
s_segment_1_879,0.0002,0,0,0.0001,0.0279,0.002,0,0.8774,0.0916,0,0,0,0.0008,0,0,0
s_segment_1_887,0.0248,0,0.0001,0.0004,0,0.0072,0.7632,0.0961,0.1081,0,0,0,0,0,0.0001,0
s_segment_1_888,0.0526,0,0.0002,0.0048,0.0007,0.0005,0.0004,0.7219,0.004,0.0464,0.1151,0,0,0.0314,0.0004,0.0216
s_segment_1_902,0.0019,0.0037,0.0247,0.0001,0.0031,0.0002,0.0001,0.9662,0,0,0,0,0,0,0,0
s_segment_1_91,0.0612,0.0001,0,0.0893,0,0.0001,0.1521,0.2837,0.399,0.0036,0.0001,0,0,0.0105,0.0002,0.0001
s_segment_1_916,0,0.0001,0,0,0,0.0001,0.0161,0.0648,0.3653,0.5445,0,0,0.0091,0,0,0
s_segment_1_924,0.0016,0.0022,0.0086,0.0038,0.0848,0,0,0.0722,0.8208,0.0004,0.0001,0.0024,0.0002,0,0.0002,0.0027
s_segment_1_929,0.0001,0.0037,0.0006,0.0005,0.2064,0,0.0042,0.3613,0.3333,0.0383,0.0021,0,0.0022,0.0318,0.004,0.0115
s_segment_1_934,0.0013,0,0,0,0.032,0.0001,0.0525,0.6935,0.0006,0.0002,0,0,0.0001,0,0.2197,0
s_segment_1_938,0,0,0.0001,0,0,0,0,0.963,0,0,0,0.0362,0.0007,0,0,0
s_segment_1_94,0.4253,0,0.0001,0.0001,0.0005,0,0.1628,0.3547,0.0262,0.0004,0.0246,0.0002,0,0.0025,0,0.0026
s_segment_1_940,0,0,0.0024,0.0021,0,0.0002,0,0.0001,0.7958,0.0012,0.1907,0.0004,0.0062,0.0008,0,0.0001
s_segment_1_949,0.0001,0.0003,0.1547,0.0006,0,0.3563,0.0005,0.1846,0.0004,0.03,0.267,0.0018,0.0017,0.001,0.0002,0.0008
s_segment_1_957,0.0004,0.0001,0.0005,0.0142,0.0001,0.0155,0.0307,0.0941,0.3665,0.0281,0.3561,0,0,0,0.0689,0.0248
s_segment_1_965,0.0127,0,0.008,0.0017,0.0003,0.004,0.1557,0.8171,0,0.0002,0.0001,0.0001,0,0.0001,0,0
s_segment_1_971,0.0001,0.0554,0,0,0,0,0,0.0816,0.5175,0,0,0.0017,0.1418,0,0.2012,0.0007
s_segment_1_974,0.0004,0.0001,0,0.0023,0.0054,0.1626,0.2684,0.4493,0.095,0,0,0.0081,0.0001,0.0009,0.0008,0.0066
s_segment_1_986,0,0.0019,0,0.0001,0,0.001,0.0007,0.2066,0.2173,0.0001,0.0001,0.006,0.0001,0.0003,0.5658,0
s_segment_1_993,0.0021,0.0001,0,0.1886,0.0002,0.0088,0.1002,0.4277,0.0539,0.0807,0.0231,0.0325,0.0006,0.0815,0,0
s_segment_1_995,0,0,0,0.0193,0.0041,0,0.0178,0.2646,0.1526,0.0002,0.2293,0.304,0.0001,0,0,0.008
s_segment_1_998,0.0012,0.0001,0,0.0499,0.0002,0,0,0.8842,0.0003,0.0007,0,0.0412,0.004,0.0182,0,0
s_segment_1_999,0.0001,0.065,0.0001,0,0.2052,0.0135,0.0089,0.0001,0.2968,0.0113,0.3985,0.0001,0.0004,0,0,0
s_segment_2_1007,0.0191,0,0,0,0,0,0.414,0.4847,0.0613,0.0069,0,0,0.0001,0.0016,0,0.0123
s_segment_2_1010,0,0,0.1553,0.0001,0,0,0,0.4535,0.0754,0,0,0.0001,0.3149,0.0004,0.0003,0
s_segment_2_1018,0.2152,0.0574,0,0.0042,0.0006,0.0258,0.0002,0.2997,0.3656,0.0001,0.0004,0.0128,0,0.0014,0.0166,0
s_segment_2_1026,0.0073,0.0035,0,0.0071,0.0032,0.0142,0.4382,0.0585,0,0.0491,0.1167,0,0.0001,0.001,0.301,0.0001
s_segment_2_1027,0.0002,0.0001,0.0012,0,0.0292,0.1716,0.395,0.0001,0.3444,0.0011,0.0009,0.0562,0,0,0,0
s_segment_2_1028,0.1085,0,0,0,0,0,0.6318,0.2591,0,0,0,0.0001,0,0.0004,0,0.0001
s_segment_2_1029,0,0.0062,0,0,0.0003,0.0001,0,0.2184,0,0.3629,0,0,0,0.001,0.3221,0.089
s_segment_2_1035,0.0001,0.0004,0,0,0,0.0007,0.1132,0,0.2264,0.0001,0.6119,0,0.0313,0,0.0106,0.0053
s_segment_2_1045,0.3426,0.0007,0.0001,0.0108,0,0.0038,0.1318,0.0037,0.5051,0,0,0,0,0.0014,0,0
s_segment_2_1049,0,0,0,0,0,0,0.0124,0.6382,0.0001,0.0009,0.2044,0.0001,0.1054,0.0385,0,0
s_segment_2_1053,0.0199,0.0059,0.0075,0.2925,0.0029,0.112,0.0001,0.192,0,0.1261,0.1478,0.0103,0.0001,0.0002,0.0809,0.0018
s_segment_2_1059,0.0001,0.1883,0.0419,0.0016,0.0001,0.0448,0.0041,0.4756,0.2243,0,0.0012,0.0052,0,0.0014,0,0.0114
s_segment_2_1073,0.001,0.0322,0.0003,0,0.0004,0.3322,0.0004,0.2371,0.3705,0,0.0126,0.013,0,0,0.0002,0.0001
s_segment_2_1083,0,0.0007,0.0016,0.015,0.0019,0.1249,0.0008,0.522,0.0009,0.0032,0.0006,0.319,0.0034,0.0003,0.0028,0.0029
s_segment_2_1117,0.0001,0,0.0001,0.1223,0.0194,0.0017,0.0275,0.0463,0.0976,0.4749,0.2035,0.0014,0.0001,0.0048,0,0.0003
s_segment_2_1121,0,0.0006,0.003,0,0,0.2742,0.0248,0.6916,0.0001,0,0,0,0,0.0001,0,0.0056
s_segment_2_1124,0.0079,0,0.0477,0,0.0004,0.0086,0.0838,0.059,0.3959,0.0007,0.3886,0,0.0001,0.0072,0.0001,0
s_segment_2_1155,0.0004,0.0023,0.0001,0,0,0,0.0014,0.4218,0.0261,0.0581,0,0.487,0,0.0028,0,0
s_segment_2_1158,0,0.0178,0.0001,0,0.0037,0,0,0.9621,0,0.0163,0,0,0,0,0,0
s_segment_2_1162,0,0.0569,0,0,0.0094,0,0.0868,0.0166,0.7798,0.0001,0.0001,0.0475,0.0006,0,0.0021,0.0001
s_segment_2_1186,0,0,0,0.0742,0.0003,0,0.0618,0.8527,0,0,0.0004,0.0073,0.001,0.0001,0.0022,0
s_segment_2_1197,0.0001,0.0005,0.0072,0.0001,0,0.0001,0,0.8527,0.0056,0.0161,0.0014,0,0.0009,0.0068,0.1012,0.0073
s_segment_2_120,0,0,0,0,0,0,0,0.4006,0.4289,0,0,0.0157,0.1543,0,0.0004,0.0001
s_segment_2_1201,0.0002,0.0001,0,0,0,0.1168,0.0001,0.5081,0.0168,0,0,0,0,0.0001,0,0.3578
s_segment_2_1202,0,0,0,0.0003,0,0.0009,0.0808,0.4032,0,0,0.5093,0.0001,0,0.0008,0.0046,0
s_segment_2_1215,0,0.0001,0,0,0.0002,0.0044,0,0.4015,0.0621,0.5285,0,0.0031,0,0,0,0.0001
s_segment_2_1217,0.027,0.0018,0,0.0239,0.0001,0,0.233,0.273,0.3023,0,0.0009,0.0001,0.0519,0.0175,0.0685,0
s_segment_2_1248,0,0.0005,0.0405,0.0022,0,0.0001,0,0.0727,0.3884,0.0001,0,0.0028,0.0075,0.0052,0.0067,0.4733
s_segment_2_1263,0.0001,0,0,0.0012,0.1074,0,0.0014,0.2109,0.1379,0.0003,0,0.0795,0.0466,0.009,0.0002,0.4055
s_segment_2_1265,0.0005,0.0509,0.0051,0,0,0.0075,0,0.5955,0.0008,0.0001,0.3045,0,0.0003,0,0.0348,0
s_segment_2_1271,0.0045,0.0037,0.0022,0.0667,0.001,0.0001,0.0001,0.0043,0.3031,0.2202,0.3815,0,0.0002,0.0004,0.012,0
s_segment_2_1273,0,0,0,0,0,0,0.0004,0.9947,0,0.0046,0,0.0001,0,0.0002,0,0
s_segment_2_1290,0,0,0,0.0024,0,0.0244,0,0.9155,0.0001,0,0.0565,0,0,0,0,0.0011
s_segment_2_1304,0.0003,0.0001,0.0037,0,0.0007,0.0262,0,0.9135,0.0004,0.0003,0,0,0,0.0547,0.0001,0
s_segment_2_1325,0,0.0001,0.0229,0.0018,0,0.1512,0.2277,0.1958,0.267,0.0079,0.0155,0,0.0203,0.0003,0.0758,0.0137
s_segment_2_135,0.0004,0,0.0235,0.0003,0,0,0.0031,0.0002,0.3503,0,0.5513,0.0057,0.0078,0.001,0.0563,0.0001
s_segment_2_136,0.1047,0.0001,0,0,0.0002,0,0,0.0696,0.4479,0.3741,0,0.0008,0.0006,0.0019,0.0001,0
s_segment_2_1364,0.0001,0.0111,0.0263,0.0001,0,0.0027,0.11,0.5568,0,0.0249,0,0,0,0.0005,0.2674,0.0001
s_segment_2_1374,0,0.0184,0.0001,0.0418,0.0729,0.0004,0.0001,0.2001,0,0.5887,0,0.0007,0.0542,0.0008,0.0002,0.0216
s_segment_2_1382,0.0002,0.0141,0.3678,0.0006,0.0302,0.1105,0.1623,0.2171,0.0001,0.0938,0,0,0.0016,0.0006,0.0003,0.0008
s_segment_2_1395,0.0001,0.1139,0,0.0001,0,0,0.0002,0.7552,0,0.0084,0.0321,0,0.0323,0,0.0576,0.0001
s_segment_2_1398,0.3715,0.009,0.0003,0.0007,0,0.0433,0.0087,0.476,0,0,0.001,0.0716,0.0095,0.0002,0.0022,0.006
s_segment_2_1403,0.0001,0,0.0249,0.0001,0.0031,0,0.0031,0.9213,0,0.0003,0,0.0094,0.0001,0.0318,0.0058,0
s_segment_2_1410,0.3756,0,0.0004,0,0,0,0.1974,0.1803,0.0004,0.0467,0,0,0,0.0007,0.0001,0.1984
s_segment_2_1423,0.3373,0,0.0001,0,0.0968,0.0077,0,0.5155,0.0004,0.0002,0.0032,0.0015,0,0.0135,0.0238,0
s_segment_2_1426,0,0.0002,0.0015,0.0019,0.0012,0.0069,0,0.4536,0.0721,0.066,0.0002,0,0,0.0004,0.3949,0.0011
s_segment_2_1429,0.0026,0,0.0243,0.0002,0,0.0719,0.0025,0.0001,0.8663,0,0.0271,0.005,0,0,0,0
s_segment_2_1430,0.0866,0.1165,0.2745,0.0008,0.0009,0,0.0595,0.2664,0,0.0001,0.0091,0.0014,0.0007,0.0004,0.0014,0.1817
s_segment_2_1453,0.0249,0,0.0001,0.0841,0,0,0.0043,0.609,0.2315,0.0013,0.0249,0,0.0021,0.0175,0.0003,0
s_segment_2_1459,0,0,0.0005,0,0.0001,0.0806,0.0003,0.599,0,0.0003,0,0,0.0001,0,0.3115,0.0076
s_segment_2_1462,0.0001,0,0.0011,0.0001,0.003,0,0.0338,0.6406,0.0014,0.0043,0.0001,0.0002,0,0.0001,0.3152,0
s_segment_2_1472,0.0001,0.0001,0.0015,0,0.0001,0.0006,0,0.9901,0.003,0.0001,0.0039,0,0.0005,0,0,0
s_segment_2_1479,0.0001,0.0179,0.0567,0.0043,0.0001,0.0232,0.1379,0.0002,0.2577,0.0004,0.0299,0.1881,0,0.0026,0.0447,0.2362
s_segment_2_148,0.4504,0,0.0599,0,0.0004,0,0.0961,0.2488,0.0132,0.0001,0.0308,0.0003,0,0.0003,0.0872,0.0125
s_segment_2_150,0.0871,0.0001,0,0.0773,0,0.004,0.1726,0,0.0748,0.5721,0,0.0002,0.0001,0.0048,0.0002,0.0067
s_segment_2_151,0,0,0,0.0118,0.011,0.0101,0,0.0046,0.6048,0.0001,0.3516,0,0.0045,0,0.0015,0
s_segment_2_1513,0.3353,0,0,0.0001,0.0001,0.1681,0.0001,0.4536,0,0.0002,0,0.0241,0,0.001,0.0153,0.0021
s_segment_2_1525,0,0.3784,0,0.0002,0,0,0.0001,0.398,0,0,0,0.0032,0.002,0,0,0.2181
s_segment_2_1534,0,0,0.1498,0.0002,0,0,0.0001,0.535,0.3002,0.001,0,0.009,0,0,0,0.0047
s_segment_2_1539,0.0001,0,0,0.0138,0.0093,0,0.0014,0.4273,0.3097,0,0.0001,0.1582,0.0001,0.0007,0.0771,0.0022
s_segment_2_1571,0,0,0,0,0,0,0.0111,0.5048,0,0.0702,0.0237,0.1296,0.0001,0,0.0003,0.2602
s_segment_2_1597,0.0001,0,0.002,0.0001,0.0152,0.2846,0.0001,0.1632,0.487,0.0234,0.0001,0.0233,0.0005,0.0003,0,0.0001
s_segment_2_1602,0,0,0.0023,0,0,0.0001,0.0002,0.2741,0.7033,0,0.018,0.0001,0.001,0.0008,0.0001,0
